iter	Passed	Remaining
0	0	73
1	1	71
2	2	70
3	2	63
4	3	61
5	3	60
6	4	59
7	5	58
8	5	58
9	6	57
10	7	57
11	8	63
12	9	63
13	10	61
14	10	60
15	11	59
16	12	58
17	12	58
18	13	57
19	14	56
20	14	55
21	15	54
22	16	54
23	16	53
24	17	52
25	18	51
26	18	50
27	19	49
28	19	48
29	20	48
30	21	47
31	23	48
32	24	49
33	25	48
34	25	48
35	26	47
36	27	46
37	27	45
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	30	39
44	31	38
45	32	37
46	32	36
47	33	36
48	34	35
49	34	34
50	35	33
51	35	33
52	36	32
53	38	32
54	39	32
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	65	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	72	0
99	72	0
